x,y
11,16105
47,4985761
76,33807005
50,6377551
-5,521
3,121
45,4193821
48,5421361
-76,32928901
88,60658841
-63,15506821
32,1082401
-76,32928901
-18,99451
-52,7173661
35,1544761
-72,26505721
-82,44667451
88,60658841
6,1555
47,4985761
77,35615581
-73,28014481
98,93187711
27,551881
-42,3039331
-86,54072071
-55,8987221
0,1
58,11515031
30,837931
16,69905
98,93187711
6,1555
82,45770351
1,5
6,1555
92,72426541
-72,26505721
77,35615581
67,20456441
-11,13421
-71,25058741
-33,1151041
37,1926221
-100,99009901
-41,2758481
-69,22343305
73,28792661
-24,318505
-41,2758481
-35,1458941
-30,783871
-90,64889011
-65,17580161
-93,74009401
-86,54072071
-22,224071
40,2625641
39,2374321
95,82317121
68,21700501
60,13179661
16,69905
64,17043521
32,1082401
-65,17580161
-67,19854781
43,3500201
98,93187711
-73,28014481
-1,1
72,27252361
84,50386981
36,1727605
-5,521
55,9320081
56,10013305
92,72426541
8,4681
-39,2255605
99,97039801
-42,3039331
31,954305
86,55344355
-6,1111
-24,318505
-10,9091
-83,46893341
-42,3039331
57,10744501
-46,4382191
57,10744501
82,45770351
6,1555
-95,80602181
-80,40454321
9,7381
-26,440051
74,30397351
